date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:40	207/207	---M--	302	error ('Found')	text/html	date:Fri,%2002%20Nov%202012%2023:16:40%20GMT	http://projecteuler.net/robots.txt		(from )
18:16:44	22482/22482	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:40%20GMT	http://projecteuler.net/problems	projecteuler.net/problems.html	(from )
18:16:44	1406/1406	---M--	200	added ('OK')	image/x-icon	etag:%22473f76b-57e-4cd87349e0653%22	http://projecteuler.net/favicon.ico	projecteuler.net/favicon.ico	(from )
18:16:44	5881/5881	---M--	200	added ('OK')	text/css	etag:%22479f073-16f9-4cd6d6770f823%22	http://projecteuler.net/style_main.css	projecteuler.net/style_main.css	(from )
18:16:44	1168/1168	---M--	200	added ('OK')	text/css	etag:%22479f075-490-4cd6d67a016db%22	http://projecteuler.net/style_light.css	projecteuler.net/style_light.css	(from )
18:16:45	5535/5535	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:45%20GMT	http://projecteuler.net/about	projecteuler.net/about.html	(from )
18:16:45	5631/5631	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:45%20GMT	http://projecteuler.net/register	projecteuler.net/register.html	(from )
18:16:46	4799/4799	---M--	200	added ('OK')	application/xml	etag:%22479f071-12bf-4cd80288a12e6%22	http://projecteuler.net/rss2_euler.xml	projecteuler.net/rss2_euler.xml	(from )
18:16:46	1228/1228	---M--	200	added ('OK')	image/png	etag:%2247866d6-4cc-4cd6d85ab4319%22	http://projecteuler.net/images/icon_rss.png	projecteuler.net/images/icon_rss.png	(from )
18:16:47	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2002%20Nov%202012%2023:16:47%20GMT	http://projecteuler.net/secure=yes	projecteuler.net/secure=yes.9.delayed	(from )
18:16:47	904/904	---M--	200	added ('OK')	image/png	etag:%2247865b3-388-4cd6d85a9a258%22	http://projecteuler.net/images/icon_lock.png	projecteuler.net/images/icon_lock.png	(from )
18:16:47	4670/4670	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:45%20GMT	http://projecteuler.net/login	projecteuler.net/login.html	(from )
18:16:47	3299/3299	---M--	200	added ('OK')	image/png	etag:%2247866d9-ce3-4cd6d85b42800%22	http://projecteuler.net/images/pe_banner_light.png	projecteuler.net/images/pe_banner_light.png	(from )
18:17:11	20514/20514	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:48%20GMT	http://projecteuler.net/problems;page=4	projecteuler.net/problems;page=4.html	(from )
18:17:11	19499/19499	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:49%20GMT	http://projecteuler.net/problems;page=5	projecteuler.net/problems;page=5.html	(from )
18:17:14	22414/22414	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:48%20GMT	http://projecteuler.net/problems;page=3	projecteuler.net/problems;page=3.html	(from )
18:17:14	22217/22217	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:17:11%20GMT	http://projecteuler.net/problems;page=7	projecteuler.net/problems;page=7.html	(from )
18:17:15	4535/4535	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:19:25%20GMT	http://projecteuler.net/problem=1	projecteuler.net/problem=1.html	(from )
18:17:16	22565/22565	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:16:48%20GMT	http://projecteuler.net/problems;page=2	projecteuler.net/problems;page=2.html	(from )
18:17:16	4569/4569	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:18:04%20GMT	http://projecteuler.net/problem=3	projecteuler.net/problem=3.html	(from )
18:17:17	22180/22180	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2023:17:14%20GMT	http://projecteuler.net/problems;page=8	projecteuler.net/problems;page=8.html	(from )
18:17:17	4671/4671	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:18:04%20GMT	http://projecteuler.net/problem=4	projecteuler.net/problem=4.html	(from )
18:17:18	4805/4805	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:18:04%20GMT	http://projecteuler.net/problem=2	projecteuler.net/problem=2.html	(from )
18:17:18	4603/4603	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:18:04%20GMT	http://projecteuler.net/problem=5	projecteuler.net/problem=5.html	(from )
18:17:18	5041/5041	---MC-	200	added ('OK')	text/html	date:Tue,%2018%20Sep%202012%2019:18:04%20GMT	http://projecteuler.net/problem=6	projecteuler.net/problem=6.html	(from )
